rawName,normalizedName,occurrences,unitExamples,resolutionStatus,chosenWeaponId,chosenWeaponName,chosenTechBase,candidateWeaponIds,suggestion
Large X-Pulse Laser,largexpulselaser,35,Aquagladius AQS-4; Colossus CLS-4S; Daedalus DAD-3D; Great Turtle GTR-1; Juggernaut JG-R9T2; Juggernaut JG-R9T3; Koto KTO-2A; Onslaught SA-OS2,matched,is_large_xpulse_laser,Large X-Pulse Laser,Inner Sphere,is_large_xpulse_laser,
TSEMP Cannon,tsempcannon,34,Gyrfalcon 4; Phoenix Hawk L 'Fenikkusu Taka' PXH-11K; Tenshi TN-10-OB; Catapult II CPLT-L7; Mortis MS-1P; Raven II RVN-5X; Yinghuochong YHC-3Y; Black Hawk X,unmatched,,,,,"Add ""TSEMP Cannon"" as an altName to the correct weapon definition."
ISRocketLauncher10,isrocketlauncher10,32,Charger CGR-2A2; Flea FLE-19; Vindicator VND-6L; Whitworth WTH-1H; Anubis ABS-3R; Lao Hu LHU-4E; Thanatos TNS-4S (Felix); Cataphract CTF-5MOC (Naomi),matched,is_rocket_launcher_10,Rocket Launcher 10,Inner Sphere,is_rocket_launcher_10,
Narc,narc,32,Jenner JR7-K (Grace); Loki A; Masakari B; Orion ON1-M-DC; Orion ON1-MB; Orion ON1-MD; Puma C; Raven RVN-3L,matched,is_narc_missile_beacon,Narc Missile Beacon,Inner Sphere,is_narc_missile_beacon,
ISSNPPC,issnppc,31,Banshee BNC-8S; Cicada CDA-3MA; Grand Dragon DRG-9KC; Hussar HSR-950-D; Javelin JVN-11F; Panther PNT-14S; Chimera CMA-2K; Gurkha GUR-8G,matched,is_snub_nose_ppc,Snub-Nose PPC,Inner Sphere,is_snub_nose_ppc,
Thunderbolt 5,thunderbolt5,31,Malak C-MK-OE Eminus; Avalanche AVL-1OB; Sunder SD1-OF; Warhammer WHM-8D2; Shadow Hawk SHD-5R; Griffin IIC 9; Sentinel STN-6S; Thunderbolt TDR-12R,unmatched,,,,,"Possible altName ""Thunderbolt 5"" for: is_flamer, clan_flamer, is_flamer_vehicle, clan_flamer_vehicle, is_er_small_laser"
ISSRM4,issrm4,30,Bombardier BMB-12D; Commando COM-7B; Commando COM-7S; Javelin JVN-11B; Jenner JR7-C; Orion ON1-M; Panther PNT-10K; Panther PNT-C,matched,is_srm_4,SRM 4,Inner Sphere,is_srm_4; clan_srm_4,
C3 Master with TAG,c3masterwithtag,30,Cyclops CP-11-C; Daimyo DMO-5K; Gunslinger GUN-2ERD; Komodo KIM-3C; Naginata NG-C3A; Naginata NG-C3B; Avatar AV1-OC; O-Bakemono OBK-M12,unmatched,,,,,"Possible altName ""C3 Master with TAG"" for: is_tag, clan_tag, is_c3_computer_master, is_flamer, clan_flamer"
ISGaussRifle,isgaussrifle,29,Atlas AS7-K; Banshee BNC-5S; Banshee BNC-7S; Caesar CES-3R (Gertrude); Cataphract CTF-4L; Centurion CN9-YLW2 'Yen Lo Wang'; Highlander HGN-736; Hunchback HBK-5SG,matched,is_gauss_rifle,Gauss Rifle,Inner Sphere,is_gauss_rifle; clan_gauss_rifle,
LB 2-X AC,lb2xac,29,Fenris A; Hankyu B; Night Gyr B; Nobori-nin A; Men Shen MS1-OB; Uziel UZL-3S; Templar TLR1-OG; Ryoken II II,matched,clan_lb_2_x_ac,LB 2-X AC,Clan,is_lb_2_x_ac; clan_lb_2_x_ac,
AC/10,ac10,28,Cataphract CTF-1X; Clint CLNT-1-2R; Enforcer ENF-4R; Hatchetman HCT-3F; Orion ON1-K; UrbanMech UM-R60; Tempest TMP-3MA; Bushwacker BSW-X1,matched,is_autocannon_10,Autocannon/10,Inner Sphere,is_autocannon_10,
ISHeavyPPC,isheavyppc,28,Annihilator ANH-4A; Catapult CPLT-K4; Charger CGR-KMZ; Cicada CDA-3P; Flashman FLS-9M; Guillotine GLT-6WB; King Crab KGC-008; Thug THG-13K,matched,is_heavy_ppc,Heavy PPC,Inner Sphere,is_heavy_ppc,
ISStreakSRM2,isstreaksrm2,28,Atlas AS7-S; Awesome AWS-9M; Blackjack BJ-2; Commando COM-7S; Dervish DV-7D; Grasshopper GHR-5J; Grasshopper GHR-C; Javelin JVN-10P,matched,is_streak_srm_2,Streak SRM 2,Inner Sphere,is_streak_srm_2; clan_streak_srm_2,
ER Large Pulse Laser,erlargepulselaser,28,Prowler PWR-1X; Parash 2; Shadow Cat II 2; Tomahawk II B; Warwolf B; Balius E; Cougar X 3; Thunderbolt IIC 2,unmatched,,,,,"Possible altName ""ER Large Pulse Laser"" for: is_large_pulse_laser, is_large_xpulse_laser, clan_large_pulse_laser, is_er_large_laser, clan_er_large_laser"
MRM 20,mrm20,27,Cyclops CP-12-K; Orion ON1-MC; Daikyu DAI-03; Avatar AV1-OD; Firestarter FS9-OE; Bishamon BSN-3K; Helios HEL-4A; Hellspawn HSN-9F,matched,is_mrm_20,MRM 20,Inner Sphere,is_mrm_20,
B-Pod,bpod,27,Dasher K; Sunder SD1-OX; Shugenja SJA-8H; Vanquisher VQR-5V; Malak C-MK-OC Comminus; BattleMaster BLR-10S2; Goliath GOL-6H; Longbow LGB-13NAIS,matched,clan_b_pod,B-Pod,Clan,is_b_pod; clan_b_pod,
Streak LRM 15,streaklrm15,27,Gravedigger GDR-1D; Tomahawk II B; Wendigo C; Jade Hawk JHK-04; Vulture Mk IV B; Balius E; Cougar X 2; Orion C,unmatched,,,,,"Possible altName ""Streak LRM 15"" for: is_lrm_15, clan_lrm_15, is_lrm_5, clan_lrm_5, is_lrm_10"
Light AC/5,lightac5,26,Axman AXM-4D; Cataphract CTF-5D; Jackrabbit JKR-9W; Inquisitor II ITW-205; Shadow Hawk SHD-5R; BattleMaster BLR-6C; JagerMech JM7-DD; Mauler MAL-4R,matched,is_light_ac_5,Light AC/5,Inner Sphere,is_light_ac_5,
HAG/30,hag30,26,Gladiator P; Vulture E; Ha Otoko 2; Jupiter 3; Onager ; BattleMaster C; Marauder IIC 7; Rifleman IIC 6,matched,clan_hyper_assault_gauss_30,Hyper-Assault Gauss 30,Clan,clan_hyper_assault_gauss_30,
Light TAG,lighttag,26,Koshi F; Mad Cat E; Crimson Langur D; Savage Coyote W; Parash 2; Koshi (Standard) 2; Koshi (Standard) 3; Koshi (Standard) ,matched,clan_light_tag,Light TAG,Clan,clan_light_tag,
Machine Gun Array,machinegunarray,26,Lobo 3; Eyleuka EYL-4A; Pariah (Septicemia) C; Titan II TI-2PA; Piranha 4; Jaguar 2; Prey Seeker PY-SR30; Butcherbird A,matched,clan_machine_gun_array,Machine Gun Array,Clan,is_machine_gun_array; clan_machine_gun_array,
Streak LRM 5,streaklrm5,26,Morrigan 5; Ares ARS-V1C Aphrodite; Nobori-nin T; Crossbow G; Hankyu F; Hankyu T; Merlin C; Puma L,unmatched,,,,,"Possible altName ""Streak LRM 5"" for: is_lrm_5, clan_lrm_5, is_lrm_10, clan_lrm_10, is_lrm_15"
ISSmallPulseLaser,issmallpulselaser,25,Awesome AWS-9M; Cicada CDA-3M; Cicada CDA-3MA; Hunchback HBK-5M; Hunchback HBK-6N; UrbanMech UM-R63; UrbanMech UM-R68; UrbanMech UM-R69,matched,is_small_pulse_laser,Small Pulse Laser,Inner Sphere,is_small_pulse_laser; clan_small_pulse_laser,
ISFlamer,isflamer,25,Commando COM-7B; Firestarter FS9-P; Firestarter FS9-S; Flea 'Fire Ant'; Flea FLE-17; Flea FLE-19; Hermes HER-1S; Hermes II HER-5S,matched,is_flamer,Flamer,Inner Sphere,is_flamer; clan_flamer,
Light Machine Gun Array,lightmachinegunarray,25,Dasher K; Wolf Trap (Tora) WFT-2; Marshal MHL-6MC; Men Shen MS1-OE; Wyvern IIC 2; Malak C-MK-OA Dominus; Piranha 4; Goliath GOL-6H,matched,is_machine_gun_array,Machine Gun Array,Inner Sphere,is_machine_gun_array,
Streak LRM 10,streaklrm10,25,Griffin IIC 7; Warwolf A; Cougar X 3; Cougar X; Goshawk II 4; Strider SR1-OH; Coyotl D; Lupus D,unmatched,,,,,"Possible altName ""Streak LRM 10"" for: is_lrm_10, clan_lrm_10, is_lrm_5, clan_lrm_5, is_lrm_15"
Autocannon/5,autocannon5,24,Banshee BNC-3E; Hermes II HER-2S; Hunchback HBK-4N; JagerMech JM6-S; Marauder MAD-3L; Marauder MAD-3M; Marauder MAD-3R; Rifleman RFL-3N,matched,is_autocannon_5,Autocannon/5,Inner Sphere,is_autocannon_5,
ISLRM10,islrm10,24,Centurion CN9-D; Centurion CN9-D3; Centurion CN9-D3D; Centurion CN9-D9; Dervish DV-7D; Dragon DRG-5N; Exterminator EXT-4D; Grand Dragon DRG-C,matched,is_lrm_10,LRM 10,Inner Sphere,is_lrm_10; clan_lrm_10,
Large Re-engineered Laser,largereengineeredlaser,24,Templar III TLR2-OC; Blackjack BJ-2r; Ebony MEB-13; Fennec FEC-5CM; Gallant GLT-10-0; Devastator DVS-10; Watchman WTC-4DM2; Sagittaire SGT-14D,unmatched,,,,,"Possible altName ""Large Re-engineered Laser"" for: is_er_large_laser, clan_er_large_laser, is_large_laser, is_large_pulse_laser, is_large_xpulse_laser"
Autocannon/20,autocannon20,23,Atlas AS7-D-DC; Banshee BNC-3Q; Centurion CN9-AH; Centurion CN9-YLW 'Yen Lo Wang'; Charger CGR-1A5; Highlander HGN-733C; King Crab KGC-0000; UrbanMech UM-R60L,matched,is_autocannon_20,Autocannon/20,Inner Sphere,is_autocannon_20,
ISBeagleActiveProbe,isbeagleactiveprobe,23,Black Knight BL-6b-KNT; Cicada CDA-3G; Firestarter FS9-S; Javelin JVN-11B; Raven RVN-4L; Raven RVN-SR 'Shattered Raven'; Raven RVN-SS 'Shattered Raven'; Bloodhound B1-HND,matched,is_beagle_active_probe,Beagle Active Probe,Inner Sphere,is_beagle_active_probe,
Large VSP Laser,largevsplaser,23,Perseus P1E; Naginata NG-C3Ar; Thunderbolt TDR-9Nr; Tenshi TN-10-OA; Mortis MS-1P; Vandal LI-O; Merlin MLN-1P; Sagittaire SGT-14R,unmatched,,,,,"Possible altName ""Large VSP Laser"" for: is_er_large_laser, clan_er_large_laser, is_large_laser, is_large_pulse_laser, is_large_xpulse_laser"
SRM 2 (I-OS),srm2ios,23,Havoc HVC-P7; Commando COM-9S; Crossbow T; Fujin RJN-301-F; Assassin ASN-109; Raven RVN-5L,matched,is_srm_2,SRM 2,Inner Sphere,is_srm_2; clan_srm_2,
Improved Heavy Small Laser,improvedheavysmalllaser,23,Fire Falcon T; Kingfisher T; Grendel J; Grendel T; Pouncer X; Dasher I; Cephalus D; Pariah (Septicemia) A-Z,matched,clan_improved_heavy_small_laser,Improved Heavy Small Laser,Clan,clan_improved_heavy_small_laser,
CLMediumPulseLaser,clmediumpulselaser,22,Champion C; Firefly C; Hoplite C; Imp C; Prometheus ; Arcas 2; Arcas ; Pinion 2,matched,clan_medium_pulse_laser,Medium Pulse Laser,Clan,clan_medium_pulse_laser; is_medium_pulse_laser,
ISStreakSRM4,isstreaksrm4,22,Grasshopper GHR-6K; Highlander HGN-736; Highlander HGN-738; King Crab KGC-005; Panther PNT-12A; Panther PNT-16K; Stalker STK-7D; Victor VTR-10D,matched,is_streak_srm_4,Streak SRM 4,Inner Sphere,is_streak_srm_4; clan_streak_srm_4,
ISTAG,istag,20,Assassin ASN-99; Clint CLNT-5U; Hermes HER-3S2; Mercury MCY-104; Raven RVN-4L; Raven RVN-4LC; Raven RVN-SS 'Shattered Raven'; Hammer HMR-3P 'Pein-Hammer',matched,is_tag,TAG,Inner Sphere,is_tag; clan_tag,
HAG/40,hag40,20,Daishi D; Thunder Stallion 3; Burrock 2; Cygnus 2; Pariah (Septicemia) Prime; Marauder IIC 4; Mangonel MNL-4S; Cauldron-Born G,matched,clan_hyper_assault_gauss_40,Hyper-Assault Gauss 40,Clan,clan_hyper_assault_gauss_40,
Light Auto Cannon/5,lightautocannon5,20,Onslaught SA-OS2; Brahma BRM-5A; Dragon DRG-5Nr; Enfield END-6Sr; Longbow LGB-13NAIS; Ostsol OTL-8D; Rifleman RFL-6D; Rifleman RFL-9T,matched,is_light_ac_5,Light AC/5,Inner Sphere,is_light_ac_5,
ISAntiMissileSystem,isantimissilesystem,19,Atlas AS7-K; Bombardier BMB-05A; Bombardier BMB-12D; Exterminator EXT-4D; Falcon FLC-4P; Firefly FFL-4B; Firefly FFL-4C; Firefly FFL-4D,matched,is_anti_missile_system,Anti-Missile System,Inner Sphere,is_anti_missile_system; clan_anti_missile_system,
LAC/5,lac5,19,Mauler MAL-1K; Avalanche AVL-1OC; Avalanche AVL-1ON; Rokurokubi RK-4T; Malice MAL-XV; Gauntlet GTL-1OC; King Crab KGC-009; Carbine CON-9M-B ConstructionMech MOD,matched,is_light_ac_5,Light AC/5,Inner Sphere,is_light_ac_5,
Fluid Gun,fluidgun,19,Flashfire FLS-P5; Gladiator GLD-9SF; Burrower DTM-1 MiningMech; St. Florian FLN-366 FireMech; Dig Lord RCL-4 MiningMech; Pompier GM-FL FireMech; Valiant VLT-3E,unmatched,,,,,"Possible altName ""Fluid Gun"" for: is_light_machine_gun, clan_light_machine_gun, is_machine_gun, clan_machine_gun, is_heavy_machine_gun"
Small VSP Laser,smallvsplaser,19,Cronus CNS-TD9; Stalker STK-7C3BS; Goliath GOL-6M; Kheper KHP-7R; Thunderbolt TDR-10M (Salazar); Thunderbolt TDR-12R; Cataphract CTF-5L; Jinggau JN-G9CCr,unmatched,,,,,"Possible altName ""Small VSP Laser"" for: is_er_small_laser, clan_er_small_laser, is_small_laser, is_small_pulse_laser, clan_small_pulse_laser"
LRT 15,lrt15,19,Avatar AV1-OU; Cauldron-Born U; Deva C-DVA-OU Exanimus; Mad Cat U; Thor U; Vulture U; Osteon U; Pariah (Septicemia) UW,unmatched,,,,,"Add ""LRT 15"" as an altName to the correct weapon definition."
AC/20,ac20,18,Atlas AS7-D; Cyclops CP-10-Z; Hunchback HBK-4G; Victor VTR-9B; Axman AXM-1N; King Crab KGC-000; Thunder THR-1L; Avatar AV1-OA,matched,is_autocannon_20,Autocannon/20,Inner Sphere,is_autocannon_20,
ISStreakSRM6,isstreaksrm6,18,Charger CGR-SA5; Guillotine GLT-8D; Hatamoto-Chi HTM-28T; Highlander HGN-734; Kintaro KTO-K; Raven RVN-SS 'Shattered Raven'; Bloodhound B1-HND; Bloodhound B2-HND,matched,is_streak_srm_6,Streak SRM 6,Inner Sphere,is_streak_srm_6; clan_streak_srm_6,
Rocket Launcher 15,rocketlauncher15,18,Firestarter FS9-C; Marauder II MAD-4H; Ostroc OSR-4C; Stinger STG-5R; King Crab KGC-011; Carbine CON-7M ConstructionMech MOD,matched,is_rocket_launcher_15,Rocket Launcher 15,Inner Sphere,is_rocket_launcher_15,
ProtoMech AC/8,protomechac8,18,Mongrel MGL-T2; Reptar EPT-C-1 MilitiaMech; Ursus 3; Man O' War T; Black Hawk G; Black Lanner J; Turkina T; Sojourner A,unmatched,,,,,"Possible altName ""ProtoMech AC/8"" for: is_autocannon_2, is_autocannon_5, is_autocannon_10, is_autocannon_20, is_lb_2_x_ac"
Autocannon/2,autocannon2,16,Blackjack BJ-1; Blackjack BJ-1DC; Clint CLNT-2-4T; Daboku DCMS-MX90-D; Dragon DRG-1C; JagerMech JM6-A; JagerMech JM6-S; Sentinel STN-1S,matched,is_autocannon_2,Autocannon/2,Inner Sphere,is_autocannon_2,
ISMachine Gun,ismachinegun,16,Bombardier BMB-14K; Flea 'Fire Ant'; Lancelot LNC25-05; Raven RVN-SR 'Shattered Raven'; Vulcan VT-5M; Vulcan VT-6M; Wildfire P1-WF; Chimera CMA-1S,matched,is_machine_gun,Machine Gun,Inner Sphere,is_machine_gun; clan_machine_gun,
LRT 5,lrt5,16,Blackjack BJ2-OU; Fenris U; Uller U; Cephalus U,unmatched,,,,,"Add ""LRT 5"" as an altName to the correct weapon definition."
ISLargePulseLaser,islargepulselaser,15,Black Knight BL-6b-KNT; Caesar CES-4S; Hermes II HER-5SA; Imp IMP-3E; King Crab KGC-001; Stalker STK-5S; Vulcan VT-5M; Wyvern WVE-9N,matched,is_large_pulse_laser,Large Pulse Laser,Inner Sphere,is_large_pulse_laser; is_large_xpulse_laser; clan_large_pulse_laser,
ISRotaryAC5,isrotaryac5,15,Centurion CN9-D5; JagerMech JM7-F; Sentinel STN-4D; UrbanMech UM-R70; Victor VTR-11D; Akuma AKU-2XK; Lao Hu LHU-3L; Vanquisher VQR-7V,matched,is_rotary_ac_5,Rotary AC/5,Inner Sphere,is_rotary_ac_5,
Clan TAG,clantag,15,Dasher A; Koshi A; Uller C; Phantom Prime; Black Lanner A; Cauldron-Born B; Fire Falcon D; Icestorm ,matched,clan_tag,TAG,Clan,clan_tag; is_tag,
ER Small Pulse Laser,ersmallpulselaser,15,Prowler PWR-1X; Vulture Mk IV Prime; Doloire DLR-OC; Nobori-nin I; Cauldron-Born X; Grendel J; Fenris G; Mad Cat T,unmatched,,,,,"Possible altName ""ER Small Pulse Laser"" for: is_small_pulse_laser, clan_small_pulse_laser, is_small_xpulse_laser, is_er_small_laser, clan_er_small_laser"
CLHeavyMediumLaser,clheavymediumlaser,15,Burrock ; Hellfire 2; Hellfire ; Lobo ; Solitaire ; Spirit ; Solitaire 2; Mad Cat III 2 (MWDA),matched,clan_heavy_medium_laser,Heavy Medium Laser,Clan,clan_heavy_medium_laser,
SRT 4,srt4,15,Avatar AV1-OU; Fenris U; Men Shen MS1-OU; Raptor RTX1-OU; Hatamoto-Kaeru HTM-35K; Pariah (Septicemia) UW,unmatched,,,,,"Add ""SRT 4"" as an altName to the correct weapon definition."
Improved Heavy Gauss Rifle,improvedheavygaussrifle,15,Fafnir FNR-5X; Hauptmann HA1-OF; Loki G; Trebaruna TR-XH; Ares ARS-V1A Hera; Ares ARS-V1E Apollo; Barghest BGS-4T; Lightning LHN-C5,matched,is_improved_heavy_gauss_rifle,Improved Heavy Gauss Rifle,Inner Sphere,is_improved_heavy_gauss_rifle,
Extended LRM 15,extendedlrm15,15,Hatamoto-Godai HTM-30Z; Awesome AWS-11V; Salamander PPR-7T; Apollo APL-4M; Orion ON3-M; Pendragon PDG-1R; Archer ARC-9R; Orion C 2,unmatched,,,,,"Possible altName ""Extended LRM 15"" for: is_lrm_15, clan_lrm_15, is_lrm_5, clan_lrm_5, is_lrm_10"
ISLRM20,islrm20,14,Atlas AS7-K; Atlas AS7-S; Bombardier BMB-12D; Bombardier BMB-14C; Charger CGR-3K; Charger CGR-C; Highlander HGN-736; Imp IMP-4E,matched,is_lrm_20,LRM 20,Inner Sphere,is_lrm_20; clan_lrm_20,
ISMML7,ismml7,14,Bombardier BMB-14K; Exterminator EXT-5F; Thorn THE-N2; Whitworth WTH-K; Hellspawn HSN-10G; Legacy LGC-05; Osprey OSP-26 (Lawrence); Exterminator EXT-6CS,matched,is_mml_7,MML 7,Inner Sphere,is_mml_7,
ISMML5,ismml5,14,Dervish DV-9D; Grand Dragon DRG-9KC; Jenner JR7-C2; Anubis ABS-4C; Razorback RZK-10S; Stiletto STO-4C; Thunderbolt TDR-10M (Ilyena); Dig Lord RCL-Z1 Armed MiningMech,matched,is_mml_5,MML 5,Inner Sphere,is_mml_5,
CLERLargeLaser,clerlargelaser,14,Falcon FLC-6C; Arcas ; Blood Kite Kite; Lobo ; Scylla ; Spirit ; Bowman 2; Black Hawk (Standard) 2,matched,clan_er_large_laser,ER Large Laser,Clan,clan_er_large_laser; is_er_large_laser,
Anti-BattleArmor Pods (B-Pods),antibattlearmorpodsbpods,14,Loki D; Pack Hunter II II; Minsk 2; Goliath C; Hankyu E,unmatched,,,,,"Possible altName ""Anti-BattleArmor Pods (B-Pods)"" for: is_b_pod, clan_b_pod"
MRM 40,mrm40,14,Avatar AV1-OR; O-Bakemono OBK-M11; O-Bakemono OBK-M12; Sunder SD1-OC; Black Watch BKW-7R; Akuma AKU-1XJ; Archangel C-ANG-OC Comminus; Seraph C-SRP-OC Comminus,matched,is_mrm_40,MRM 40,Inner Sphere,is_mrm_40,
CLGaussRifle,clgaussrifle,14,Mad Cat Mk II 2; Wakazashi ; Annihilator C 'Gausszilla'; Annihilator C 2; Emperor EMP-6A (Nerran); Nightstar NSR-9J (Brubaker),matched,clan_gauss_rifle,Gauss Rifle,Clan,clan_gauss_rifle; is_gauss_rifle,
Rocket Launcher 20,rocketlauncher20,14,Archer ARC-6W; Marauder II MAD-4H; Corsair COR-7R,matched,is_rocket_launcher_20,Rocket Launcher 20,Inner Sphere,is_rocket_launcher_20,
ISMediumXPulseLaser,ismediumxpulselaser,14,Thunder THR-C4; Jinggau JN-G8BX (Rush); Whitworth WTH-5S; Charger CGR-1X1; Firestarter FS9-X81; Juggernaut JG-R9TX1 'Leapin' Lil'; Wolf Trap (Tora) WFT-2X 'Bear Trap',matched,is_medium_xpulse_laser,Medium X-Pulse Laser,Inner Sphere,is_medium_xpulse_laser,
ISPlasmaRifle,isplasmarifle,13,Catapult CPLT-C6; Centurion CN9-D9; Clint CLNT-2-3UL; Vindicator VND-6L; Fafnir FNR-5WB; Lao Hu LHU-3L; Vanquisher VQR-7U; Cataphract CTF-5MOC (Naomi),matched,is_plasma_rifle,Plasma Rifle,Inner Sphere,is_plasma_rifle,
MRM 30,mrm30,13,Hatchetman HCT-5K; Orion ON1-MC; Sunder SD1-OC; Shugenja SJA-7D; Shugenja SJA-8H; Akuma AKU-1X; Templar TLR1-OH; BattleMaster BLR-CM,matched,is_mrm_30,MRM 30,Inner Sphere,is_mrm_30,
Heavy Gauss Rifle,heavygaussrifle,13,Highlander HGN-694; Victor VTR-10S; Hollander II BZK-F7; War Dog WR-DG-03FC; Barghest BGS-3T; Hauptmann HA1-OC; Vanquisher VQR-5V; Crusader CRD-8S,matched,is_heavy_gauss_rifle,Heavy Gauss Rifle,Inner Sphere,is_heavy_gauss_rifle,
Thunderbolt 15,thunderbolt15,13,Bombard BMB-013; Avatar AV1-OI; Deva C-DVA-OE Eminus; Grigori C-GRG-OE Eminus; Preta C-PRT-OE Eminus; BattleMaster BLR-6M; Inferno INF-NOC; Battle Cobra BTL-C-2OH,unmatched,,,,,"Possible altName ""Thunderbolt 15"" for: is_flamer, clan_flamer, is_flamer_vehicle, clan_flamer_vehicle, is_er_small_laser"
SRT 6,srt6,13,Balius U; Daishi U; Templar TLR1-OU; Spindrift Aquatic SecurityMech SDT-1A; Spindrift Aquatic SecurityMech SDT-1,unmatched,,,,,"Add ""SRT 6"" as an altName to the correct weapon definition."
Streak LRM 20,streaklrm20,13,Kodiak II 2; Atlas III AS7-D2; Atlas III AS7-D3; Deimos D; Boreas B; Amarok 2; Mastodon B; Mastodon Prime,unmatched,,,,,"Possible altName ""Streak LRM 20"" for: is_lrm_20, clan_lrm_20, is_lrm_5, clan_lrm_5, is_lrm_10"
Heavy Flamer,heavyflamer,13,Crimson Hawk 4; Man O' War F; Pouncer F; Phantom F; Vulcan VT-7T; Mad Cat M; Koshi L; St. Florian FLN-366-M FireMech MOD,unmatched,,,,,"Possible altName ""Heavy Flamer"" for: is_flamer, clan_flamer, is_flamer_vehicle, clan_flamer_vehicle, clan_heavy_small_laser"
Prototype ER Medium Laser,prototypeermediumlaser,13,Cestus CTS-6Y-EC; Excalibur EXC-B2b-EC; Exterminator EXT-4Db-EC; Night Hawk NTK-2Q-EC; Phoenix Hawk PXH-1-EC; Redback ; Starslayer STY-2C-EC,unmatched,,,,,"Possible altName ""Prototype ER Medium Laser"" for: is_er_medium_laser, clan_er_medium_laser, is_medium_laser, is_medium_pulse_laser, clan_medium_pulse_laser"
Binary Laser (Blazer) Cannon,binarylaserblazercannon,13,Rifleman RFL-3B; Scorpion SCP-1B; UrbanMech UM-R60B; Sarissa MN2-A SecurityMech; Viper VP-1; Viper VP-7; Phoenix Hawk PXH-1VC; Urbanmaster UM-S60,unmatched,,,,,"Possible altName ""Binary Laser (Blazer) Cannon"" for: is_er_small_laser, clan_er_small_laser, is_er_medium_laser, clan_er_medium_laser, is_er_large_laser"
ISAC20,isac20,12,Atlas AS7-S; Cyclops CP-11-H; Hunchback HBK-5H; Hunchback HBK-5M; Hunchback HBK-5N; Hunchback HBK-6N; Argus AGS-6F; Dragoon AEM-02,matched,is_autocannon_20,Autocannon/20,Inner Sphere,is_autocannon_20,
ISUltraAC5,isultraac5,12,Cataphract CTF-3D; Cicada CDA-3M; Dragon DRG-5N; Hermes II HER-5S; Hermes II HER-5SA; JagerMech JM6-DD; Sentinel STN-3L; Sentinel STN-3M,matched,is_ultra_ac_5,Ultra AC/5,Inner Sphere,is_ultra_ac_5; clan_ultra_ac_5,
CLERPPC,clerppc,12,Imp C; Prometheus ; Arcas 2; Blood Kite 2; Scylla 3; Ryoken II (Tassa); Wakazashi ; Annihilator C 2,matched,clan_er_ppc,ER PPC,Clan,clan_er_ppc; is_er_ppc,
Light Blazer,lightblazer,12,Firestarter FS9-HB; King Crab KGC-0KP; Marauder MAD-3H; Phoenix Hawk 'Hammer Hawk' PXH-1S; Phoenix Hawk PXH-1GU 'Special',unmatched,,,,,"Possible altName ""Light Blazer"" for: is_light_ac_2, is_light_ac_5, is_light_gauss_rifle, is_light_machine_gun, clan_light_machine_gun"
Medium Chem Laser,mediumchemlaser,12,Black Hawk T,unmatched,,,,,"Possible altName ""Medium Chem Laser"" for: is_er_medium_laser, clan_er_medium_laser, is_medium_laser, is_medium_pulse_laser, clan_medium_pulse_laser"
ProtoMech AC/2,protomechac2,12,Kraken 6; Hankyu J; Wendigo-XP (Prime),unmatched,,,,,"Possible altName ""ProtoMech AC/2"" for: is_autocannon_2, is_autocannon_5, is_autocannon_10, is_autocannon_20, is_lb_2_x_ac"
ISRocketLauncher20,isrocketlauncher20,11,Bombardier BMB-05A; Catapult CPLT-H2; Cyclops CP-11-H; Hunchback HBK-5H; Hellspawn HSN-7D2 (Halperin),matched,is_rocket_launcher_20,Rocket Launcher 20,Inner Sphere,is_rocket_launcher_20,
CLERSmallLaser,clersmalllaser,11,Falcon FLC-6C; Firefly C; Hellfire 2; Annihilator C 2; Great Wyrm (Aemelia); Nightstar NSR-9J (Brubaker),matched,clan_er_small_laser,ER Small Laser,Clan,clan_er_small_laser; is_er_small_laser,
iNarc,inarc,11,Longshot LNG-3C; Battle Cobra BTL-C-2OC; Tessen TSN-1Cr; Phoenix Hawk PXH-7CS; Scorpion SCP-12C; Kintaro KTO-22; Raijin RJN-301-B; Raven RVN-5L,matched,is_improved_narc_launcher,Improved Narc Launcher,Inner Sphere,is_improved_narc_launcher,
TAG (Clan),tagclan,11,Hankyu Prime; Nobori-nin Prime; Mad Cat III (Eve); Coyotl D; Hellion P; Hankyu T; Hierofalcon Prime; Koshi N,matched,clan_tag,TAG,Clan,is_tag; clan_tag,
Enhanced LRM 5,enhancedlrm5,11,Sunder SD1-OX; Shadow Hawk SHD-7H; Anubis ABS-3MC,unmatched,,,,,"Possible altName ""Enhanced LRM 5"" for: is_lrm_5, clan_lrm_5, is_lrm_10, clan_lrm_10, is_lrm_15"
Silver Bullet Gauss Rifle,silverbulletgaussrifle,11,Carronade CRN-7M; Marauder MAD-9D; Orochi OR-3K; Grigori C-GRG-OS Caelestis; Marauder MAD-11D; Rifleman RFL-7G; Tian-Zong TNZ-N4; Huron Warrior HUR-WO-RX4,unmatched,,,,,"Possible altName ""Silver Bullet Gauss Rifle"" for: is_gauss_rifle, clan_gauss_rifle, is_light_gauss_rifle, is_heavy_gauss_rifle, is_improved_heavy_gauss_rifle"
