id,unitType,chassis,model,name,fileName,relativePath,tonnage,weightClass,bv,costCBills,techBase,rulesLevel,year,era,role
meks-meks-3050u-catapult-cplt-c3,meks,Catapult,CPLT-C3,Catapult,Catapult CPLT-C3.mtf,meks/3050U/Catapult CPLT-C3.mtf,65,Heavy,,,Inner Sphere,Advanced,3049,Succession Wars,Missile Boat
meks-meks-3039u-catapult-cplt-c4,meks,Catapult,CPLT-C4,Catapult,Catapult CPLT-C4.mtf,meks/3039u/Catapult CPLT-C4.mtf,65,Heavy,,,Inner Sphere,Introductory,2565,Star League,Missile Boat
meks-meks-3050u-catapult-cplt-c4c,meks,Catapult,CPLT-C4C,Catapult,Catapult CPLT-C4C.mtf,meks/3050U/Catapult CPLT-C4C.mtf,65,Heavy,,,Inner Sphere,Standard,3055,Clan Invasion,Missile Boat
meks-meks-3050u-catapult-cplt-c5,meks,Catapult,CPLT-C5,Catapult,Catapult CPLT-C5.mtf,meks/3050U/Catapult CPLT-C5.mtf,65,Heavy,,,Inner Sphere,Advanced,3061,Clan Invasion,Missile Boat
meks-meks-3085u-onn-catapult-cplt-c5a,meks,Catapult,CPLT-C5A,Catapult,Catapult CPLT-C5A.mtf,meks/3085u/ONN/Catapult CPLT-C5A.mtf,65,Heavy,,,Inner Sphere,Standard,3068,Jihad,Missile Boat
meks-meks-3050u-catapult-cplt-c6,meks,Catapult,CPLT-C6,Catapult,Catapult CPLT-C6.mtf,meks/3050U/Catapult CPLT-C6.mtf,65,Heavy,,,Inner Sphere,Standard,3069,Jihad,Skirmisher
meks-meks-3050u-catapult-cplt-h2,meks,Catapult,CPLT-H2,Catapult,Catapult CPLT-H2.mtf,meks/3050U/Catapult CPLT-H2.mtf,65,Heavy,,,Inner Sphere,Standard,3064,Civil War,Skirmisher
meks-meks-3039u-catapult-cplt-k2,meks,Catapult,CPLT-K2,Catapult,Catapult CPLT-K2.mtf,meks/3039u/Catapult CPLT-K2.mtf,65,Heavy,,,Inner Sphere,Introductory,2603,Star League,Sniper
meks-meks-force-manuals-kurita-catapult-cplt-k2-kasigi,meks,Catapult,CPLT-K2 (Kasigi),Catapult,Catapult CPLT-K2 (Kasigi).mtf,meks/Force Manuals/Kurita/Catapult CPLT-K2 (Kasigi).mtf,65,Heavy,,,Inner Sphere,Standard,3052,Clan Invasion,Sniper
meks-meks-3050u-catapult-cplt-k2k,meks,Catapult,CPLT-K2K,Catapult,Catapult CPLT-K2K.mtf,meks/3050U/Catapult CPLT-K2K.mtf,65,Heavy,,,Inner Sphere,Standard,3058,Clan Invasion,Sniper
meks-meks-3050u-catapult-cplt-k3,meks,Catapult,CPLT-K3,Catapult,Catapult CPLT-K3.mtf,meks/3050U/Catapult CPLT-K3.mtf,65,Heavy,,,Inner Sphere,Standard,3047,Succession Wars,Sniper
meks-meks-3050u-catapult-cplt-k4,meks,Catapult,CPLT-K4,Catapult,Catapult CPLT-K4.mtf,meks/3050U/Catapult CPLT-K4.mtf,65,Heavy,,,Inner Sphere,Standard,3068,Jihad,Sniper
meks-meks-3050u-catapult-cplt-k5,meks,Catapult,CPLT-K5,Catapult,Catapult CPLT-K5.mtf,meks/3050U/Catapult CPLT-K5.mtf,65,Heavy,,,Inner Sphere,Standard,3058,Clan Invasion,Skirmisher
meks-meks-rec-guides-ilclan-vol-5-catapult-cplt-k6,meks,Catapult,CPLT-K6,Catapult,Catapult CPLT-K6.mtf,meks/Rec Guides ilClan/Vol 5/Catapult CPLT-K6.mtf,65,Heavy,,,Inner Sphere,Experimental,3086,Republic,Missile Boat
meks-meks-3145-liao-catapult-ii-cplt-l7,meks,Catapult II,CPLT-L7,Catapult II,Catapult II CPLT-L7.mtf,meks/3145/Liao/Catapult II CPLT-L7.mtf,70,Heavy,,,Inner Sphere,Advanced,3135,Dark Age,Missile Boat
meks-meks-3145-liao-catapult-ii-cplt-l7l,meks,Catapult II,CPLT-L7L,Catapult II,Catapult II CPLT-L7L.mtf,meks/3145/Liao/Catapult II CPLT-L7L.mtf,70,Heavy,,,Inner Sphere,Advanced,3136,Dark Age,Skirmisher
meks-meks-tro-vehicle-annex-cattlemaster-ctl-3r-herder-industrialmech,meks,CattleMaster,CTL-3R 'Herder' IndustrialMech,CattleMaster,CattleMaster CTL-3R 'Herder' IndustrialMech.mtf,meks/TRO Vehicle Annex/CattleMaster CTL-3R 'Herder' IndustrialMech.mtf,25,Light,,,Inner Sphere,Standard,3024,Succession Wars,None
meks-meks-tro-vehicle-annex-cattlemaster-ctl-3r2-hunter-industrialmech,meks,CattleMaster,CTL-3R2 'Hunter' IndustrialMech,CattleMaster,CattleMaster CTL-3R2 'Hunter' IndustrialMech.mtf,meks/TRO Vehicle Annex/CattleMaster CTL-3R2 'Hunter' IndustrialMech.mtf,25,Light,,,Inner Sphere,Standard,3024,Succession Wars,Ambusher
meks-meks-tro-vehicle-annex-cattlemaster-ctl-3r3-securitymech,meks,CattleMaster,CTL-3R3 SecurityMech,CattleMaster,CattleMaster CTL-3R3 SecurityMech.mtf,meks/TRO Vehicle Annex/CattleMaster CTL-3R3 SecurityMech.mtf,25,Light,,,Inner Sphere,Standard,3072,Jihad,Striker
meks-meks-turning-points-htp-luzerne-cauldron-born-ebon-jaguar-samantha,meks,Cauldron-Born,(Samantha),Cauldron-Born,Cauldron-Born (Ebon Jaguar) (Samantha).mtf,meks/Turning Points/HTP Luzerne/Cauldron-Born (Ebon Jaguar) (Samantha).mtf,65,Heavy,,,Clan,Standard,3059,Clan Invasion,Skirmisher
meks-meks-3058uu-cauldron-born-ebon-jaguar-a,meks,Cauldron-Born,A,Cauldron-Born,Cauldron-Born (Ebon Jaguar) A.mtf,meks/3058Uu/Cauldron-Born (Ebon Jaguar) A.mtf,65,Heavy,,,Clan,Standard,3049,Succession Wars,Skirmisher
meks-meks-3058uu-cauldron-born-ebon-jaguar-b,meks,Cauldron-Born,B,Cauldron-Born,Cauldron-Born (Ebon Jaguar) B.mtf,meks/3058Uu/Cauldron-Born (Ebon Jaguar) B.mtf,65,Heavy,,,Clan,Standard,3049,Succession Wars,Sniper
meks-meks-3058uu-cauldron-born-ebon-jaguar-c,meks,Cauldron-Born,C,Cauldron-Born,Cauldron-Born (Ebon Jaguar) C.mtf,meks/3058Uu/Cauldron-Born (Ebon Jaguar) C.mtf,65,Heavy,,,Clan,Standard,3049,Succession Wars,Missile Boat
meks-meks-3058uu-cauldron-born-ebon-jaguar-d,meks,Cauldron-Born,D,Cauldron-Born,Cauldron-Born (Ebon Jaguar) D.mtf,meks/3058Uu/Cauldron-Born (Ebon Jaguar) D.mtf,65,Heavy,,,Clan,Standard,3059,Clan Invasion,Skirmisher
meks-meks-rec-guides-ilclan-vol-16-cauldron-born-ebon-jaguar-e,meks,Cauldron-Born,E,Cauldron-Born,Cauldron-Born (Ebon Jaguar) E.mtf,meks/Rec Guides ilClan/Vol 16/Cauldron-Born (Ebon Jaguar) E.mtf,65,Heavy,,,Clan,Standard,3069,Jihad,Skirmisher
meks-meks-rec-guides-ilclan-vol-16-cauldron-born-ebon-jaguar-f,meks,Cauldron-Born,F,Cauldron-Born,Cauldron-Born (Ebon Jaguar) F.mtf,meks/Rec Guides ilClan/Vol 16/Cauldron-Born (Ebon Jaguar) F.mtf,65,Heavy,,,Clan,Standard,3104,Republic,Sniper
meks-meks-rec-guides-ilclan-vol-16-cauldron-born-ebon-jaguar-g,meks,Cauldron-Born,G,Cauldron-Born,Cauldron-Born (Ebon Jaguar) G.mtf,meks/Rec Guides ilClan/Vol 16/Cauldron-Born (Ebon Jaguar) G.mtf,65,Heavy,,,Clan,Standard,3125,Republic,Skirmisher
meks-meks-3058uu-cauldron-born-ebon-jaguar-h,meks,Cauldron-Born,H,Cauldron-Born,Cauldron-Born (Ebon Jaguar) H.mtf,meks/3058Uu/Cauldron-Born (Ebon Jaguar) H.mtf,65,Heavy,,,Clan,Standard,3062,Civil War,Skirmisher
meks-meks-3058uu-cauldron-born-ebon-jaguar-prime,meks,Cauldron-Born,Prime,Cauldron-Born,Cauldron-Born (Ebon Jaguar) Prime.mtf,meks/3058Uu/Cauldron-Born (Ebon Jaguar) Prime.mtf,65,Heavy,,,Clan,Standard,3049,Succession Wars,Skirmisher
meks-meks-rec-guides-ilclan-vol-16-cauldron-born-ebon-jaguar-t,meks,Cauldron-Born,T,Cauldron-Born,Cauldron-Born (Ebon Jaguar) T.mtf,meks/Rec Guides ilClan/Vol 16/Cauldron-Born (Ebon Jaguar) T.mtf,65,Heavy,,,Clan,Standard,3142,Dark Age,Sniper
meks-meks-3085u-onn-cauldron-born-ebon-jaguar-u,meks,Cauldron-Born,U,Cauldron-Born,Cauldron-Born (Ebon Jaguar) U.mtf,meks/3085u/ONN/Cauldron-Born (Ebon Jaguar) U.mtf,65,Heavy,,,Clan,Experimental,3077,Jihad,Sniper
meks-meks-rec-guides-ilclan-vol-16-cauldron-born-ebon-jaguar-x,meks,Cauldron-Born,X,Cauldron-Born,Cauldron-Born (Ebon Jaguar) X.mtf,meks/Rec Guides ilClan/Vol 16/Cauldron-Born (Ebon Jaguar) X.mtf,65,Heavy,,,Clan,Advanced,3075,Jihad,Skirmisher
meks-meks-era-digests-dark-age-cave-lion,meks,Cave Lion,Lion,Cave Lion,Cave Lion.mtf,meks/Era Digests/Dark Age/Cave Lion.mtf,75,Heavy,,,Clan,Advanced,3122,Republic,Skirmisher
meks-meks-xtrs-comstar-celerity-clr-02-x-d,meks,Celerity,CLR-02-X-D,Celerity,Celerity CLR-02-X-D.mtf,meks/XTRs/ComStar/Celerity CLR-02-X-D.mtf,15,Light,,,Inner Sphere,Experimental,3052,Clan Invasion,Scout
meks-meks-3145-republic-celerity-clr-03-o,meks,Celerity,CLR-03-O,Celerity,Celerity CLR-03-O.mtf,meks/3145/Republic/Celerity CLR-03-O.mtf,15,Light,,,Inner Sphere,Experimental,3138,Dark Age,Scout
meks-meks-3145-republic-celerity-clr-03-oa,meks,Celerity,CLR-03-OA,Celerity,Celerity CLR-03-OA.mtf,meks/3145/Republic/Celerity CLR-03-OA.mtf,15,Light,,,Mixed,Experimental,3138,Dark Age,Scout
meks-meks-3145-republic-celerity-clr-03-ob,meks,Celerity,CLR-03-OB,Celerity,Celerity CLR-03-OB.mtf,meks/3145/Republic/Celerity CLR-03-OB.mtf,15,Light,,,Inner Sphere,Experimental,3138,Dark Age,Scout
meks-meks-3145-republic-celerity-clr-03-oc,meks,Celerity,CLR-03-OC,Celerity,Celerity CLR-03-OC.mtf,meks/3145/Republic/Celerity CLR-03-OC.mtf,15,Light,,,Inner Sphere,Experimental,3138,Dark Age,Scout
meks-meks-3145-republic-celerity-clr-03-od,meks,Celerity,CLR-03-OD,Celerity,Celerity CLR-03-OD.mtf,meks/3145/Republic/Celerity CLR-03-OD.mtf,15,Light,,,Inner Sphere,Experimental,3138,Dark Age,Scout
meks-meks-3145-republic-celerity-clr-03-oe,meks,Celerity,CLR-03-OE,Celerity,Celerity CLR-03-OE.mtf,meks/3145/Republic/Celerity CLR-03-OE.mtf,15,Light,,,Mixed,Experimental,3138,Dark Age,Scout
meks-meks-xtrs-royal-fantasy-celerity-clr-03omm-rajah,meks,Celerity,CLR-03OMM 'Rajah',Celerity,Celerity CLR-03OMM _Rajah_.mtf,meks/XTRs/Royal Fantasy/Celerity CLR-03OMM _Rajah_.mtf,15,Light,,,Mixed,Advanced,3138,Dark Age,Scout
meks-meks-3145-republic-celerity-clr-04-r,meks,Celerity,CLR-04-R,Celerity,Celerity CLR-04-R.mtf,meks/3145/Republic/Celerity CLR-04-R.mtf,15,Light,,,Inner Sphere,Experimental,3138,Dark Age,Scout
meks-meks-3145-republic-celerity-clr-05-x,meks,Celerity,CLR-05-X,Celerity,Celerity CLR-05-X.mtf,meks/3145/Republic/Celerity CLR-05-X.mtf,15,Light,,,Inner Sphere,Experimental,3138,Dark Age,Scout
meks-meks-3050u-centurion-cn10-b,meks,Centurion,CN10-B,Centurion,Centurion CN10-B.mtf,meks/3050U/Centurion CN10-B.mtf,55,Medium,,,Inner Sphere,Standard,3057,Clan Invasion,Brawler
meks-meks-rec-guides-ilclan-vol-10-centurion-cn10-d,meks,Centurion,CN10-D,Centurion,Centurion CN10-D.mtf,meks/Rec Guides ilClan/Vol 10/Centurion CN10-D.mtf,55,Medium,,,Inner Sphere,Standard,3121,Republic,Sniper
meks-meks-shrapnel-vol-2-centurion-cn10-j,meks,Centurion,CN10-J,Centurion,Centurion CN10-J.mtf,meks/Shrapnel/Vol 2/Centurion CN10-J.mtf,55,Medium,,,Inner Sphere,Standard,3057,Clan Invasion,Brawler
meks-meks-shrapnel-vol-2-centurion-cn10-w,meks,Centurion,CN10-W,Centurion,Centurion CN10-W.mtf,meks/Shrapnel/Vol 2/Centurion CN10-W.mtf,55,Medium,,,Inner Sphere,Standard,3057,Clan Invasion,Sniper
meks-meks-3145-davion-centurion-cn11-o,meks,Centurion,CN11-O,Centurion,Centurion CN11-O.mtf,meks/3145/Davion/Centurion CN11-O.mtf,50,Medium,,,Inner Sphere,Standard,3111,Republic,Brawler
meks-meks-3145-davion-centurion-cn11-oa,meks,Centurion,CN11-OA,Centurion,Centurion CN11-OA.mtf,meks/3145/Davion/Centurion CN11-OA.mtf,50,Medium,,,Inner Sphere,Standard,3111,Republic,Brawler
meks-meks-3145-davion-centurion-cn11-ob,meks,Centurion,CN11-OB,Centurion,Centurion CN11-OB.mtf,meks/3145/Davion/Centurion CN11-OB.mtf,50,Medium,,,Inner Sphere,Standard,3111,Republic,Sniper
meks-meks-3145-davion-centurion-cn11-oc,meks,Centurion,CN11-OC,Centurion,Centurion CN11-OC.mtf,meks/3145/Davion/Centurion CN11-OC.mtf,50,Medium,,,Inner Sphere,Standard,3111,Republic,Skirmisher
meks-meks-3145-davion-centurion-cn11-od,meks,Centurion,CN11-OD,Centurion,Centurion CN11-OD.mtf,meks/3145/Davion/Centurion CN11-OD.mtf,50,Medium,,,Inner Sphere,Advanced,3111,Republic,Brawler
meks-meks-3145-davion-centurion-cn11-oe,meks,Centurion,CN11-OE,Centurion,Centurion CN11-OE.mtf,meks/3145/Davion/Centurion CN11-OE.mtf,50,Medium,,,Inner Sphere,Experimental,3111,Republic,Sniper
meks-meks-3039u-centurion-cn9-a,meks,Centurion,CN9-A,Centurion,Centurion CN9-A.mtf,meks/3039u/Centurion CN9-A.mtf,50,Medium,,,Inner Sphere,Introductory,2801,Succession Wars,Brawler
meks-meks-3039u-centurion-cn9-ah,meks,Centurion,CN9-AH,Centurion,Centurion CN9-AH.mtf,meks/3039u/Centurion CN9-AH.mtf,50,Medium,,,Inner Sphere,Introductory,2874,Succession Wars,Juggernaut
meks-meks-3039u-centurion-cn9-al,meks,Centurion,CN9-AL,Centurion,Centurion CN9-AL.mtf,meks/3039u/Centurion CN9-AL.mtf,50,Medium,,,Inner Sphere,Introductory,2915,Succession Wars,Brawler
meks-meks-3085u-onn-centurion-cn9-ar,meks,Centurion,CN9-Ar,Centurion,Centurion CN9-Ar.mtf,meks/3085u/ONN/Centurion CN9-Ar.mtf,50,Medium,,,Inner Sphere,Standard,3072,Jihad,Sniper
meks-meks-3050u-centurion-cn9-d,meks,Centurion,CN9-D,Centurion,Centurion CN9-D.mtf,meks/3050U/Centurion CN9-D.mtf,50,Medium,,,Inner Sphere,Standard,3049,Succession Wars,Skirmisher
meks-meks-3050u-centurion-cn9-d3,meks,Centurion,CN9-D3,Centurion,Centurion CN9-D3.mtf,meks/3050U/Centurion CN9-D3.mtf,50,Medium,,,Inner Sphere,Standard,3052,Clan Invasion,Skirmisher
meks-meks-3050u-centurion-cn9-d3d,meks,Centurion,CN9-D3D,Centurion,Centurion CN9-D3D.mtf,meks/3050U/Centurion CN9-D3D.mtf,50,Medium,,,Inner Sphere,Standard,3060,Clan Invasion,Skirmisher
meks-meks-3050u-centurion-cn9-d4d,meks,Centurion,CN9-D4D,Centurion,Centurion CN9-D4D.mtf,meks/3050U/Centurion CN9-D4D.mtf,50,Medium,,,Inner Sphere,Standard,3066,Civil War,Skirmisher
meks-meks-3050u-centurion-cn9-d5,meks,Centurion,CN9-D5,Centurion,Centurion CN9-D5.mtf,meks/3050U/Centurion CN9-D5.mtf,50,Medium,,,Inner Sphere,Standard,3062,Civil War,Skirmisher
meks-meks-3050u-centurion-cn9-d9,meks,Centurion,CN9-D9,Centurion,Centurion CN9-D9.mtf,meks/3050U/Centurion CN9-D9.mtf,50,Medium,,,Inner Sphere,Standard,3071,Jihad,Skirmisher
meks-meks-3050u-centurion-cn9-da,meks,Centurion,CN9-Da,Centurion,Centurion CN9-Da.mtf,meks/3050U/Centurion CN9-Da.mtf,50,Medium,,,Inner Sphere,Standard,3065,Civil War,Skirmisher
meks-meks-xtrs-retrotech-centurion-cn9-h,meks,Centurion,CN9-H,Centurion,Centurion CN9-H.mtf,meks/XTRs/RetroTech/Centurion CN9-H.mtf,50,Medium,,,Inner Sphere,Experimental,3077,Jihad,Brawler
meks-meks-tro-irregulars-centurion-cn9-h2-militiamech,meks,Centurion,CN9-H2 MilitiaMech,Centurion,Centurion CN9-H2 MilitiaMech.mtf,meks/TRO Irregulars/Centurion CN9-H2 MilitiaMech.mtf,50,Medium,,,Inner Sphere,Standard,3100,Republic,Brawler
meks-meks-tro-irregulars-centurion-cn9-h2h-militiamech,meks,Centurion,CN9-H2H MilitiaMech,Centurion,Centurion CN9-H2H MilitiaMech.mtf,meks/TRO Irregulars/Centurion CN9-H2H MilitiaMech.mtf,50,Medium,,,Inner Sphere,Standard,3100,Republic,Brawler
meks-meks-tro-irregulars-centurion-cn9-h3-militiamech,meks,Centurion,CN9-H3 MilitiaMech,Centurion,Centurion CN9-H3 MilitiaMech.mtf,meks/TRO Irregulars/Centurion CN9-H3 MilitiaMech.mtf,50,Medium,,,Mixed,Advanced,3100,Republic,Brawler
meks-meks-3039u-centurion-cn9-ylw-yen-lo-wang,meks,Centurion,CN9-YLW 'Yen Lo Wang',Centurion,Centurion CN9-YLW Yen Lo Wang.mtf,meks/3039u/Centurion CN9-YLW Yen Lo Wang.mtf,50,Medium,,,Inner Sphere,Introductory,3027,Succession Wars,Juggernaut
meks-meks-3050u-centurion-cn9-ylw2,meks,Centurion,CN9-YLW2 'Yen Lo Wang',Centurion,Centurion CN9-YLW2.mtf,meks/3050U/Centurion CN9-YLW2.mtf,50,Medium,,,Inner Sphere,Standard,3051,Clan Invasion,Brawler
meks-meks-turning-points-otp-capellan-crusades-centurion-cn9-ylw3-yen-lo-wang,meks,Centurion,CN9-YLW3 'Yen Lo Wang',Centurion,Centurion CN9-YLW3 'Yen Lo Wang'.mtf,meks/Turning Points/OTP Capellan Crusades/Centurion CN9-YLW3 'Yen Lo Wang'.mtf,50,Medium,,,Mixed,Experimental,3101,Republic,Brawler
meks-meks-wor-supplemental-cephalus-a,meks,Cephalus,A,Cephalus,Cephalus A.mtf,meks/WoR Supplemental/Cephalus A.mtf,25,Light,,,Clan,Experimental,3072,Jihad,Scout
meks-meks-wor-supplemental-cephalus-b,meks,Cephalus,B,Cephalus,Cephalus B.mtf,meks/WoR Supplemental/Cephalus B.mtf,25,Light,,,Clan,Experimental,3072,Jihad,Scout
meks-meks-wor-supplemental-cephalus-c,meks,Cephalus,C,Cephalus,Cephalus C.mtf,meks/WoR Supplemental/Cephalus C.mtf,25,Light,,,Clan,Experimental,3072,Jihad,Scout
meks-meks-wor-supplemental-cephalus-d,meks,Cephalus,D,Cephalus,Cephalus D.mtf,meks/WoR Supplemental/Cephalus D.mtf,25,Light,,,Clan,Experimental,3072,Jihad,Striker
meks-meks-wor-supplemental-cephalus-e,meks,Cephalus,E,Cephalus,Cephalus E.mtf,meks/WoR Supplemental/Cephalus E.mtf,25,Light,,,Clan,Experimental,3072,Jihad,Sniper
meks-meks-wor-supplemental-cephalus-prime,meks,Cephalus,Prime,Cephalus,Cephalus Prime.mtf,meks/WoR Supplemental/Cephalus Prime.mtf,25,Light,,,Clan,Experimental,3072,Jihad,Scout
meks-meks-wor-supplemental-cephalus-u,meks,Cephalus,U,Cephalus,Cephalus U.mtf,meks/WoR Supplemental/Cephalus U.mtf,25,Light,,,Clan,Experimental,3072,Jihad,Scout
meks-meks-3055u-cerberus-mr-5m,meks,Cerberus,MR-5M,Cerberus,Cerberus MR-5M.mtf,meks/3055U/Cerberus MR-5M.mtf,95,Assault,,,Inner Sphere,Standard,3055,Clan Invasion,Brawler
meks-meks-3055u-cerberus-mr-6b,meks,Cerberus,MR-6B,Cerberus,Cerberus MR-6B.mtf,meks/3055U/Cerberus MR-6B.mtf,95,Assault,,,Inner Sphere,Standard,3067,Civil War,Brawler
meks-meks-3145-ntnu-rs-ntnu-cerberus-mr-7k,meks,Cerberus,MR-7K,Cerberus,Cerberus MR-7K.mtf,meks/3145/NTNU RS/NTNU/Cerberus MR-7K.mtf,95,Assault,,,Inner Sphere,Advanced,3121,Republic,
meks-meks-3055u-cerberus-mr-v2,meks,Cerberus,MR-V2,Cerberus,Cerberus MR-V2.mtf,meks/3055U/Cerberus MR-V2.mtf,95,Assault,,,Inner Sphere,Standard,3054,Clan Invasion,Brawler
meks-meks-3055u-cerberus-mr-v3,meks,Cerberus,MR-V3,Cerberus,Cerberus MR-V3.mtf,meks/3055U/Cerberus MR-V3.mtf,95,Assault,,,Inner Sphere,Standard,3062,Civil War,Brawler
meks-meks-3058uu-cestus-cts-6x,meks,Cestus,CTS-6X,Cestus,Cestus CTS-6X.mtf,meks/3058Uu/Cestus CTS-6X.mtf,65,Heavy,,,Inner Sphere,Standard,2609,Star League,Brawler
meks-meks-3058uu-cestus-cts-6y,meks,Cestus,CTS-6Y,Cestus,Cestus CTS-6Y.mtf,meks/3058Uu/Cestus CTS-6Y.mtf,65,Heavy,,,Inner Sphere,Standard,2766,Star League,Brawler
meks-meks-golden-century-cestus-cts-6y-ec,meks,Cestus,CTS-6Y-EC,Cestus,Cestus CTS-6Y-EC.mtf,meks/Golden Century/Cestus CTS-6Y-EC.mtf,65,Heavy,,,Clan,Experimental,2825,Succession Wars,Brawler
meks-meks-3058uu-cestus-cts-6z,meks,Cestus,CTS-6Z,Cestus,Cestus CTS-6Z.mtf,meks/3058Uu/Cestus CTS-6Z.mtf,65,Heavy,,,Inner Sphere,Standard,3058,Clan Invasion,Brawler
meks-meks-3058uu-cestus-cts-7a,meks,Cestus,CTS-7A,Cestus,Cestus CTS-7A.mtf,meks/3058Uu/Cestus CTS-7A.mtf,65,Heavy,,,Inner Sphere,Standard,3070,Jihad,Brawler
meks-meks-tro-vehicle-annex-chaffee-bt1-servicemech,meks,Chaffee,BT1 Servicemech,Chaffee,Chaffee BT1 Servicemech.mtf,meks/TRO Vehicle Annex/Chaffee BT1 Servicemech.mtf,15,Light,,,Inner Sphere,Advanced,3081,Republic,Scout
meks-meks-3058uu-chameleon-cln-7v,meks,Chameleon,CLN-7V,Chameleon,Chameleon CLN-7V.mtf,meks/3058Uu/Chameleon CLN-7V.mtf,50,Medium,,,Inner Sphere,Introductory,3056,Clan Invasion,Scout
meks-meks-xtrs-phantoms-chameleon-q-mech-cln-7vq,meks,Chameleon,CLN-7VQ 'Q-'Mech',Chameleon,Chameleon Q-'Mech CLN-7VQ.mtf,meks/XTRs/Phantoms/Chameleon Q-'Mech CLN-7VQ.mtf,50,Medium,,,Mixed,Experimental,3071,Jihad,Striker
meks-meks-3058uu-chameleon-cln-7w,meks,Chameleon,CLN-7W,Chameleon,Chameleon CLN-7W.mtf,meks/3058Uu/Chameleon CLN-7W.mtf,50,Medium,,,Inner Sphere,Standard,3058,Clan Invasion,Striker
meks-meks-3058uu-chameleon-cln-7z,meks,Chameleon,CLN-7Z,Chameleon,Chameleon CLN-7Z.mtf,meks/3058Uu/Chameleon CLN-7Z.mtf,50,Medium,,,Inner Sphere,Standard,3058,Clan Invasion,Striker
meks-meks-rec-guides-ilclan-vol-25-chameleon-cln-8v,meks,Chameleon,CLN-8V,Chameleon,Chameleon CLN-8V.mtf,meks/Rec Guides ilClan/Vol 25/Chameleon CLN-8V.mtf,50,Medium,,,Inner Sphere,Standard,3086,Republic,Striker
meks-meks-rec-guides-ilclan-vol-25-chameleon-cln-9v,meks,Chameleon,CLN-9V,Chameleon,Chameleon CLN-9V.mtf,meks/Rec Guides ilClan/Vol 25/Chameleon CLN-9V.mtf,50,Medium,,,Inner Sphere,Standard,3120,Republic,Striker
meks-meks-rec-guides-ilclan-vol-25-chameleon-trc-4b,meks,Chameleon,TRC-4B,Chameleon,Chameleon TRC-4B.mtf,meks/Rec Guides ilClan/Vol 25/Chameleon TRC-4B.mtf,50,Medium,,,Inner Sphere,Introductory,2510,Star League,Scout
meks-meks-rec-guides-ilclan-vol-25-chameleon-trc-4c,meks,Chameleon,TRC-4C,Chameleon,Chameleon TRC-4C.mtf,meks/Rec Guides ilClan/Vol 25/Chameleon TRC-4C.mtf,50,Medium,,,Inner Sphere,Introductory,2820,Succession Wars,Scout
meks-meks-3050u-champion-c,meks,Champion,C,Champion,Champion C.mtf,meks/3050U/Champion C.mtf,60,Heavy,,,Clan,Standard,2867,Succession Wars,Skirmisher
meks-meks-3050u-champion-chp-1n,meks,Champion,CHP-1N,Champion,Champion CHP-1N.mtf,meks/3050U/Champion CHP-1N.mtf,60,Heavy,,,Inner Sphere,Standard,2602,Star League,Skirmisher
meks-meks-3039u-champion-chp-1n2,meks,Champion,CHP-1N2,Champion,Champion CHP-1N2.mtf,meks/3039u/Champion CHP-1N2.mtf,60,Heavy,,,Inner Sphere,Standard,2667,Star League,Skirmisher
meks-meks-operation-klondike-champion-chp-1nb,meks,Champion,CHP-1Nb,Champion,Champion CHP-1Nb.mtf,meks/Operation Klondike/Champion CHP-1Nb.mtf,60,Heavy,,,Inner Sphere,Standard,2751,Star League,Sniper
meks-meks-operation-klondike-champion-chp-1nb2,meks,Champion,CHP-1Nb2,Champion,Champion CHP-1Nb2.mtf,meks/Operation Klondike/Champion CHP-1Nb2.mtf,60,Heavy,,,Inner Sphere,Advanced,2737,Star League,None
meks-meks-3039u-champion-chp-2n,meks,Champion,CHP-2N,Champion,Champion CHP-2N.mtf,meks/3039u/Champion CHP-2N.mtf,60,Heavy,,,Inner Sphere,Introductory,2810,Succession Wars,Skirmisher
meks-meks-3050u-champion-chp-3n,meks,Champion,CHP-3N,Champion,Champion CHP-3N.mtf,meks/3050U/Champion CHP-3N.mtf,60,Heavy,,,Inner Sphere,Standard,3052,Clan Invasion,Skirmisher
meks-meks-3050u-champion-chp-3p,meks,Champion,CHP-3P,Champion,Champion CHP-3P.mtf,meks/3050U/Champion CHP-3P.mtf,60,Heavy,,,Inner Sphere,Standard,3061,Clan Invasion,Skirmisher
meks-meks-rec-guides-ilclan-vol-29-charger-c,meks,Charger,C,Charger,Charger C.mtf,meks/Rec Guides ilClan/Vol 29/Charger C.mtf,80,Assault,,,Clan,Advanced,3130,Republic,Scout
meks-meks-3039u-charger-cgr-1a1,meks,Charger,CGR-1A1,Charger,Charger CGR-1A1.mtf,meks/3039u/Charger CGR-1A1.mtf,80,Assault,,,Inner Sphere,Introductory,2665,Star League,Scout
meks-meks-3039u-charger-cgr-1a5,meks,Charger,CGR-1A5,Charger,Charger CGR-1A5.mtf,meks/3039u/Charger CGR-1A5.mtf,80,Assault,,,Inner Sphere,Introductory,3023,Succession Wars,Juggernaut
meks-meks-3039u-charger-cgr-1a9,meks,Charger,CGR-1A9,Charger,Charger CGR-1A9.mtf,meks/3039u/Charger CGR-1A9.mtf,80,Assault,,,Inner Sphere,Introductory,3034,Succession Wars,Skirmisher
